tweet,label
"@ganjarpranowo Ga usah ngedikte anak muda gen-z harus pilih siapa,mereka sudah pintar sudah tau busuk,bobroknya @PDI_Perjuangan dan kegagalan semua petugas partainya. Bukan begitu guys,
@BEMUI_Official 
@BEMUNJ_OFFICIAL 
@Unair_Official 
@UB_Official 
@UGMYogyakarta https://t.co/DdTZ9nckPq",-1
"@ganjarpranowo @jokowi Kalo sama Cina² ini menu nya apaan ndoro @ganjarpranowo selain menu bahas modal kampanye,kesejahteraan, kenyamanan dan keamanan mereka OLIGARKI dan CUKONG²
 
Oiya,udah ketemu belum solution how to solve the problem itu ? apakah #AniesPresidenRI2024 big problem juga buat kalian 😁 https://t.co/OfWg3yPNeM",0
"Suami sukses tentu ada istri selalu support system..😍😍😍

@ganjarpranowo 
#GanjarUntukSemua 
#LanjutkanBersamaGanjar https://t.co/79oPhIzu3t",1
"Inilah #KerjaNyataPKB #MuhaiminIskandar
@cakimiNOW 
@prabowo 
@ganjarpranowo 
@PartaiSocmed https://t.co/JquZxj1xx5",0
"Sejatinya @ganjarpranowo penerus Jokowi 🤟🤟🤟

#GanjarUntukSemua 
#LanjutkanBersamaGanjar https://t.co/bSLxXUgIhc",0
@ganjarpranowo @dpubmckjateng @LaporGub_ Itulah perlunya jogging di wilayah sendiri biar tahu keadaan jalan jalan di Jateng.. ini jogingnya di Jakarta dan diluar Jateng yg keadaan jalannya jauh lebih sempurna.. 😅🤣🤣🤣🤣,0
@koharramadi81 @prematur1um @Schlossthe6 @ganjarpranowo @PDI_Perjuangan @BEMUI_Official @BEMUNJ_OFFICIAL @Unair_Official @UB_Official @UGMYogyakarta @PDIPerjuangan @jokowi dimana maju pesatnya ?,-1
"@LekMarteg @ganjarpranowo Bokeeep
Mana wadas
Dan e-ktp",1
"Pengamat politik Universitas Airlangga Suko Widodo sebut duet Ganjar Pranowo-Erick Thohir akan jadi pasangan paling nendang di Pilpres 2024...

#GanjarErickDuetTerbaik https://t.co/ZBlrSh6IEG",1
@ganjarpranowo Ganjarist Kota Medan (ferr Hariyanto) https://t.co/Lv5GSMYTah,-1
"Bahagianya Lory Tarigan Bisa Tampil Menari Tor-Tor Menyambut @ganjarpranowo di Medan. Sambut Walikota Medan dan Bupati Taput resmikan rumah pemenangan PDIP Sumut..🤟🤟🤟

#GanjarUntukSemua 
#LanjutkanBersamaGanjar https://t.co/KEyEnlKTxI",-1
Ndoro @ganjarpranowo pean capres @PDI_Perjuangan iso ora ngomong gini tanpa teks ? nek ga iso mending nyalon jadi dancer aja di ISTANA BONEKA DUFAN 😁,0
"@PemkabKendal 
@ganjarpranowo 
@BPJSKesehatanRI 
@KemensosRI 

#dmmp terima kasih.
Cc: @jokowi",0
@AnakLolina2 @Kemenag_RI @ganjarpranowo Hasil survei kagak bakalan bohong deh... https://t.co/zAu9fmuEEh,0
"Pemimpin tulus dan merakyat hanya ada pada @ganjarpranowo 

#GanjarUntukSemua #LanjutkanBersamaGanjar https://t.co/I8xEGDaYuv",0
Ada yg bisa bantah buat para buzzE lak...tseperti @Miduk17 @Uki23 @ch_chotimah2 @yusuf_dumdum Dan para sampah beserta pemuja @ganjarpranowo,-1
"Politikus PAN mas Anang wawancara eksklusif pak @ganjarpranowo..👍👍

#GanjarUntukSemua
#LanjutkanBersamaGanjar https://t.co/a7NEp1v6QR",0
"@Miduk17 Ogh bearti bahasa mu juga mencerminkan jadi di dirimu y cok.
Gk ikut kemedan kau sama @ganjarpranowo atau gk di anggap kau jadi penjilat sejatinya",-1
"@ganjarpranowo Kesempatan cari muka ditengah prestasi seseorang, kebiasaan politisi wakanda",0
@RadarKorupsi @ganjarpranowo Malu ah.,-1
@ray_arunda @panjianom102 @ganjarpranowo Sedang mencret kayaknya atau sedang lari dari komentar seperti junjungannya den Prahoro 🤭,-1
@AntoniusCDN @jokowi @ganjarpranowo @03__nakula @ch_chotimah2 @akbar84_ @aini8suhaila @seruanhl Mentor lgsg,-1
Tolong didengar uak @ganjarpranowo ..,-1
"@ganjarpranowo @dinkesjateng @LaporGub_ Kalo masuk berita aja baru gini, kalo ga masuk berita mah diem2 aja pak, malah lari ke gbk",0
@ammar_andika @ganjarpranowo @jokowi Cacat nalar cacat logika.,-1
"Hi bestie😍
Keseruan srikandi ganjar sumut bersama Remaja silalahi🥰
#GanjarPranowo 
#GanjarPresiden2024 
#srikandiganjar 
#srikandiganjarsumut
#gardaperempuanmillenial 
#Senimenenunkainuloskhasdairi https://t.co/xJQFsuXLpi",1
@CNNIndonesia @puanmaharani_ri @AgusYudhoyono @ganjarpranowo Tp yg memutuskan ketua umum,1
"Usai konsolidasi PDIP, @ganjarpranowo sowan Tokoh NU Sumatra Utara Abuya Ali Akbar Marbun. Ganjar beri ulos raja dan doa.

#ganjaruntuksemua
#lanjutkanbersamaganjar https://t.co/1g1twZqjFZ",-1
@ganjarpranowo @dpubmckjateng @LaporGub_ Mantaf Jalan di Jateng,0
"@Minang_cyber @ganjarpranowo Sudah kuduga, begitu jg disemua daerah. Kep kep",-1
@ganjarpranowo suka Nonton bokep termasuk budaya gk pak ?,1
"Rumah Sakit Terapung @PDI_Perjuangan ""Laksamana Malahayati"" resmi beroperasi 

#PDIPerjuangan #GanjarPranowo https://t.co/kw0yRJ8QMo",-1
"@ganjarpranowo Wadas dan ektp gmna mas
Apakah sdh selesai",-1
@ch_chotimah2 @ganjarpranowo Mantap 🤟🤟🤟,-1
@wantahgdn__ @ganjarpranowo Urus wadas aja gk bisa,-1
@Yuliadi_Mr @ganjarpranowo Dulu ada yg serba pake kartu sekarang serba satset,-1
@HusinShihab @SentotQ @ganjarpranowo Kalau masih katanya tanpa didukung data baiknya jangan sebut sebuah bukti bhw beliau peduli &amp; ngurusi kebutuhan warganya pak. 🙏,1
@ganjarpranowo @dpubmckjateng @LaporGub_ Jalur lari pagi,-1
@AdamsIlham @Mrbizzyone001 @ganjarpranowo @Hary_Tanoe Soalnya lu lagi mabok drun...,-1
@likeamagma @ganjarpranowo @jokowi Ente gak tau apa yg sudah di kerjakan pak Ganjar Pranowo https://t.co/sGD9HZnWSz,1
@__AnakKolong @jokowi @ganjarpranowo @prabowo Ikut pilihan Mas Bud @budimandjatmiko aja...,-1
@ganjarpranowo Benar. Belajar itu tak musti melihat kehadiran di kelas. Byk yg belajar otodidak dan hebat hebat hanya dari tutor di website atau YouTube,-1
"@detikcom @detik_jateng Kasian warga jateng sperti gk punya gubernur y kan @ganjarpranowo hebo keliling kemana mana.
Tp wrga sendiri di abaikan.
Otak mana otak",-1
@Aryprasetyo85 @ganjarpranowo @03__nakula @al_lasan @alextham878 @Anak__Ogi @Arindra__ @chaterine_8 @ch_chotimah2 @DM_N4BYL @NgkongRoses Ada jutaan yang akan bergabung,-1
"@ganjarpranowo @bobbynasution_ Landjoet ke Atjeh, Pak...?",1
@ganjarpranowo @jokowi Enak lah kalien makan enak....,0
@elkrova @ganjarpranowo @PDI_Perjuangan Jatah timnas di ambil Israil.,-1
@ganjarpranowo @LaporGub_ @kominfo_jtg Lha wong wifi balai desa ada yg diksh psswd dan byk warga ga tau psswdnya ...pripun niku pak ?,-1
@ganjarpranowo @BappenasRI Caranya rezim mempromosikan jagoannya muntah rasanya melihatnya terlalu vulgar dan masib,-1
@Kang_Toniee @ganjarpranowo @sastra_diaz Mngkin masih satu hoby😂😂,1
@hansssolo @ganjarpranowo kasih laptop bagi yang doyan nonton film pak?,-1
"@ganjarpranowo @jokowi Mohon ijin Mas @ganjarpranowo apa bole minta ttd Mas di foto Mas ""TUANKU YA RAKYAT"" 🙏💪🇮🇩",1
@ganjarpranowo Masalah Jawa Tengah belum selesai dah ditinggal jalan jalan aja 😇,0
"@ganjarpranowo @BappenasRI Semenjak menjadi Capres tiba tiba Propinsi nya sering dapat penghargaan.
Bisa gtu ya?",0
@ganjarpranowo Perasaan saya JATENG masi provinsi termiskin..rumah pejabat kale di bangun y..,1
@hansssolo @Urrangawak @ganjarpranowo Klw gak berprestasi apa mungkin sampai 2 periode jdi gub.,-1
@ganjarpranowo @BappenasRI Kita sedang menunggu medali marathon nya pak,0
@ganjarpranowo Ngapunten pak saya boleh pinjem duit y g 100 ribu buat modal ngojek lagi soalnya sudah seminggu tidak online gara²,0
@prematur1um @ganjarpranowo @PDI_Perjuangan Dimana fakta hebatnya ? 😁,0
@RASKULHOLIC @Aryprasetyo85 @ganjarpranowo @03__nakula @al_lasan @alextham878 @Anak__Ogi @Arindra__ @chaterine_8 @ch_chotimah2 @DM_N4BYL @NgkongRoses Sadis lu bro! 🤣,-1
@antaranews @ganjarpranowo pelari akap lg dimana posisi,1
@ganjarpranowo Keren benar pak Ganjar..👍,-1
@ganjarpranowo @jokowi Kpn mundur pak ? Kayaknya sudah gak penting LG di jateng,0
@ganjarpranowo @Hary_Tanoe Selamat pak de,1
@ganjarpranowo 11 12 Sama Sebelumnya #PerubahanUntukIndonesia,0
@ganjarpranowo @jokowi menu wadas dan kendeng,-1
@ganjarpranowo @BappenasRI Wow.. amazing tu...Jateng Perencanaan Dan Pencapaian Pembangunan terbaik Nasional.. 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0
"@emerson_yuntho Calon Presiden yang g kamu pilih ternyata @ganjarpranowo 😂😂😂

Mampooosss !!!",1
"@ganjarpranowo Horas, pak!
Selamat berkunjung dan menikmati kota Medan, pak e!",1
"@ganjarpranowo Maaf pak.
Apa kira kira yg mmbuat bapak untuk gas pol melakukan perbaikan?",-1
@ganjarpranowo @jokowi Kerupukk...,0
"@ganjarpranowo @jokowi Menu ""Boong""",0
@ganjarpranowo @Hary_Tanoe Lari dari kenyataan,-1
@RstmBcl @ganjarpranowo 1 Pusingan maksudnya 😂,0
@ganjarpranowo @Hary_Tanoe Jelas aja .. Satu komunitas,-1
@ganjarpranowo @Hary_Tanoe Semoga anda tidak terpilih sebagai presiden Republik Indonesia.,1
@ganjarpranowo @jokowi Kecap ABC pak... 😁👍,0
"@ganjarpranowo @pdkjateng Pak gubernur saya korban curanmor 5 Mei lalu ,, saya sudah mengajukan pemblokiran STNK tp prosesnya lama sekali ya pak gub
Apa pekerjaan di tempat terkait emg lelet apa emg prosesnya lama???
Mohon bantuannya pak gub",-1
@ganjarpranowo @Hary_Tanoe Kita tunggu buzzer negara api menyerang...,0
Capres itu yang DIJUAL Otak dan Pemikirannya yg Visioner...kalau jualan FISIK mendingan jadi Aktor Film Porno aja...ya kan @ganjarpranowo dan @PDI_Perjuangan ?? 🤭😜😂🤣👎🐸🔨🐸🔨,-1
"CUKUP GAAAK?
Pindahan Ibu Kota, Menteri PUPR: Dukungan Infrastruktur Dasar IKN Tahun 2023 Rp.26,67 Triliun

https://t.co/qNAct6bpFA 

@ikn_id @KemenPU @KSPgoid @DPR_RI @mprgoid @DPDRI @puanmaharani_ri @jokowi @ganjarpranowo @prabowo @aniesbaswedan @BPKPgoid @bpkri @KemenkeuRI",-1
@ch_chotimah2 @ganjarpranowo Yang hobi fitnah itu kamu @ch_chotimah2,-1
"@DE__JAVU_ @Verraagustian_ @ganjarpranowo Sampah biasanya dibahas oleh para sampah, sampah kok ditanya sm ganjar, panitianya dan walikitanya yg ditanya, soplak",1
"@ganjarpranowo fotonya kok item putih
Gk warna 
Jadull ya",0
"@ganjarpranowo Saya asli medan,kecamatan medan timur pilih Anies",1
"@ganjarpranowo Yang ini mmng luar biasa pak.
Putri Ariani hebat.
membuat bangga seluruh Indonesia,baik yg cebong,yg kampret,yg kadrun.
Tapi pak Prabowo kok blm ada ngucapin yah?",1
@ganjarpranowo @Hary_Tanoe lari dari tanggung jawab?,-1
"Pak Ganjar Pranowo adalah penerus sejati pak Jokowi. Jangan ragukan lagi ya saudaraku semua.

#GanjarUntukSemua
#LanjutkanBersamaGanjar https://t.co/TaYBwxPzZN",1
@dsangg3 @ganjarpranowo Terima kasih😊,-1
Melangkah pasti bersama ganjar pranowo #GanjarCapres https://t.co/0TU0dSWBEh,1
"@RstmBcl @ganjarpranowo Biasa aja, namanya juga hasil sure pay, Rakyat sudah tidak bisa dibodohi",1
@ganjarpranowo @jokowi Menu cawe cawe..,0
Capres Ganjar Pranowo di Gedung Seba Guna Medan bersama relawan https://t.co/RlfqHduxyY,1
@YasrizalJ57255 @alexanderysq9 @al_fatih1953 @Joker_Wedoks @ivanbaeek @Karsono12732862 @koecing_pasar @AliminHerman @DJoker_GinOngs @DKIJakarta @RusliyaU @aniesbaswedan @tawajkt @rang_simabua @bos_sir @Yurissa_Samosir @alisyarief @abwnews_ @ajengcute16__ @sutanmangara @Munir_Timur @BEMUI_Internal @ekowboy2 @democrazymedia @geloraco @keuangannews_id @bachrum_achmadi @sutanmangarahrp @AndiSinulingga @ElfizaEnny @musniumar @KrisyantoOni @Womgwaras @Buyung_Isjoyo @ganjarpranowo Tampang kau mirip mesum ya 😆😆,0
@GunRomli @ganjarpranowo calon presiden dunia m aya.....,-1
"@ganjarpranowo Selamat malam pak, 
Saya Hardy Ginting dari provinsi Jambi pak
Mohon dibantu pak untuk penipuan online ini, saya hanya rakyat biasa, telah kena tipu pak dan banyak lagi korban selain saya pak, saya tidak tau lagi melaporkan ke siapa pak. 
Terima kasih pak
Salam dari Jambi pak",1
@YasrizalJ57255 @alexanderysq9 @al_fatih1953 @Joker_Wedoks @ivanbaeek @Karsono12732862 @koecing_pasar @AliminHerman @DJoker_GinOngs @DKIJakarta @RusliyaU @aniesbaswedan @tawajkt @rang_simabua @bos_sir @Yurissa_Samosir @alisyarief @abwnews_ @ajengcute16__ @sutanmangara @Munir_Timur @BEMUI_Internal @ekowboy2 @democrazymedia @geloraco @keuangannews_id @bachrum_achmadi @sutanmangarahrp @AndiSinulingga @ElfizaEnny @musniumar @KrisyantoOni @Womgwaras @Buyung_Isjoyo @ganjarpranowo Muka lo muka mesum sok munafik kau,0
@YasrizalJ57255 @alexanderysq9 @al_fatih1953 @Karsono12732862 @koecing_pasar @AliminHerman @DJoker_GinOngs @Joker_Wedoks @DKIJakarta @ivanbaeek @RusliyaU @aniesbaswedan @tawajkt @rang_simabua @bos_sir @Yurissa_Samosir @alisyarief @abwnews_ @ajengcute16__ @sutanmangara @Munir_Timur @BEMUI_Internal @ekowboy2 @democrazymedia @geloraco @keuangannews_id @bachrum_achmadi @sutanmangarahrp @AndiSinulingga @ElfizaEnny @musniumar @KrisyantoOni @Womgwaras @Buyung_Isjoyo @ganjarpranowo @jokowi @realAmienRais @al_fatih1953 ini contohnya drun pendukung si bodat,0
Dukung ganjar pranowo #GanjarCapres https://t.co/N1RjmPx6JO,1
@Mdy_Asmara1701 Klo ahy jadi cawapres pak @ganjarpranowo aq pilih anis...,1
"@hansssolo @ganjarpranowo ☝️
Lari lari...cip AQ dluan🤭",-1
"@ganjarpranowo @bobbynasution_ Siapa pun presiden aku dukung.asalkan jgn sianu  yg penuh dgn kata kata mutiara,😃🤣😜",1
"Banyak milenial, banyak dukungan juga, istimewa

#GanjarCapres #GanjarPranowo https://t.co/mfXVfZgzO8",-1
@ganjarpranowo @bobbynasution_ Ise ma disuruh makketiki ate 😃,0
"Banyak pendukung pak jokowi, banyak dukungan juga, istimewa

#GanjarCapres #GanjarPranowo https://t.co/Sj8ZdLgzY4",0
"@Ari3Pras @ganjarpranowo Bisa menang curang dg mudah,KPU dan bawaslu bersama kalian",1
@ganjarpranowo @jokowi Tahu tempe ama kacang panjang,0
Komitmen Ganjar Pranowo https://t.co/gcYvFsUFU7,1
"Anak muda tau mau dukung siapa

#GanjarPranowo #GanjarCapres https://t.co/DbRSfaZwI5",-1
"jelas dalam poin ini @ganjarpranowo &amp; @prabowo sulit bergerak.

karna status mereka sbg petahana pemerintahan. Gubernur &amp; Menhan aktif.

@aniesbaswedan berpotensi paling di untungkan, jika angkat isu gaji ASN dan Guru.",-1
"termasuk carut marutnya Rekrutmen ASN PNS &amp; PPPK khusus guru.

bacapres @ganjarpranowo , @prabowo &amp; @aniesbaswedan harus mengambil sikap tegak terlebih dahulu.

soal bagaimana manajemen ASN dan PPPK guru kedepan.",1
"Dukung Ganjar Pranowo
#GanjarCapres https://t.co/jhqzHin36g",1
"Ganjar Pranowo Melangkah Pasti untuk menjemput kemenangan menuju RI1
#GanjarCapres https://t.co/DAPlzYJ98l",1
Penyelamatan Tanjakan Melayu Ganjar Pranowo https://t.co/R1yhnJTnsB,1
"Angkatan muda siap menangkan Ganjar Pranowo
#GanjarCapres https://t.co/DhPquXV83p",1
"Ganjar Pranowo sosok pemimpin berani dan punya nyali
#GanjarCapres https://t.co/Qfyodpll2A",1
"Ganjar Pranowo sangat mengayomi masyarakat
#GanjarCapres https://t.co/pXkDKrzyu8",1
"@ganjarpranowo jual ginjal aja biar kaya
kayak indosiar",0
"Pemimpin berjiwa muda
Ganjar Pranowo https://t.co/0Tz6LfDBMc",1
"Dukungan Gen Z untuk Ganjar Pranowo
#GanjarCapres https://t.co/uV67zM9NEw",1
"Pemimpin harus punya nyali 
Ganjar pranowo sudah memiliki itu https://t.co/XH2XFjWkn0",1
Ganjar Pranowo Bangun Kreativitas Bersama Milenial dan Gen Z https://t.co/OxSrHBxiuF,1
"Milenial bersama Ganjar Pranowo
#GanjarCapres https://t.co/hzS9Wjrq38",1
"@ganjarpranowo Ngk seru pak, klu nonton bola sendiri aja... 😂😂😂

Dimana-mana nonton bola itu pasti beramai-ramai dgn teman,

Kecuali nonton yg biruuuu, bagusnya nonton sendiri atau dgn  pasangan aja 🤭🤭🤭",-1
Ganjar Pranowo genjot penurunan kemiskinan ekstrem di Jateng https://t.co/Mc0xafXKad,-1
@Comel2306 @ganjarpranowo @bobbynasution_ Gubernur juga manudia kerja senin-jumat kan ?,-1
"@borndizzway @ganjarpranowo @Dishubkotasmg Duh parah sih ini, jgn2 selama ini emg aturan ga dijalankan",0
@ganjarpranowo @dpubmckjateng @LaporGub_ nanti mau nyapres jadi peduli😥,1
@pl879 @ganjarpranowo Waduuh...😂🤣😂🤣🤪 https://t.co/sy6PYBUjAH,0
@ganjarpranowo @jokowi Gorengan tahu atau gorengan isu pak? Btw till we die ggmu pak🤏,-1
@erickthohir tetap dampingi @ganjar_pranowo https://t.co/6JGkyMPDAr,-1
Ganjar Pranowo bisa pimpin dan bawa Indonesia jadi negara maju https://t.co/A4IgHQXADx,1
@ganjarpranowo @kominfo_cilacap kasihan bpk!!😂😂,-1
Ganjar Pranowo paket lengkap ! https://t.co/yqM62ZmEW7,1
Kita cinta ama Pak @ganjarpranowo sudah selayaknya kita harus fokus ke Pak @erickthohir 🙏,-1
"Ganjar Pranowo pemimpin masa depan
#GanjarPresiden https://t.co/53NmWxs1Xj",1
"Ganjar Pranowo pemimpin berwawasan Nusantara
#GanjarMenangTotal https://t.co/KJmaOHpyRv",1
"Ganjar pranowo emang paket lengkap lanjutkan kepemimpinan Pak jokowi
#GanjarCapres https://t.co/3k9zukAHD3",1
"Ganjar Pranowo mendapat dukungan diberbagai daerah 
#GanjarCapres https://t.co/OYZCuOQ0OV",-1
Pesan Ganjar Pranowo untuk anak muda ! https://t.co/VtOAzHSht2,-1
"Ganjar Pranowo mendapat dukungan diberbagai daerah 
#GanjarCapres https://t.co/mxdioKO7Gt",-1
"Ganjar Pranowo mendapat dukungan diberbagai daerah 
#GanjarCapres https://t.co/cWbnvIDZpZ",-1
"Ganjar Pranowo mendapat dukungan diberbagai daerah 
#GanjarCapres https://t.co/nCPdTjq0Y3",-1
"Ganjar Pranowo tanamkan Cintai Budaya Lokal 

 #GanjarCapres https://t.co/pwt9UFmyN7",1
Ganjar Pranowo bahagia dalam kesederhanaan https://t.co/s6jYBvvLVh,-1
"@KakekHalal Biarkan @gibran_tweet meneruskan program Pak Ganjar, agar nantinya Pak @ganjarpranowo mau melanjutkan program pak @jokowi 🫣🤭🙏",-1
"Ganjar Pranowo orang sederhana dan jujur !

#GanjarCapres https://t.co/8RyId4fwaJ",-1
Ganjar Pranowo berikan bantuan sosial di Purwodadi https://t.co/Nre3U1yQaw,1
Penyematan Tanjak Melayu Ganjar Pranowo https://t.co/HU3cV4FCqW,1
Suasana cair saat Ganjar Pranowo dialog dengan siswa https://t.co/AzS5OYzzqp,1
"Ganjar Pranowo pemimpin bernyali besar 
#GanjarUntukSemua
https://t.co/BBuFKQoPvC",1
"Ganjar Pranowo pemimpin yang inspiratif 
#GanjarMenangTotal
https://t.co/DsnBiL0DNM",1
Elektabilitas Ganjar Pranowo kembali menguat berdasarkan survei SMRC! https://t.co/jUitwKoLQa,1
Ganjar Pranowo komitmen berikan yang terbaik untuk semua kalangan https://t.co/3tfOavTYmI,1
"Ganjar Pranowo sosok yang pantas menjadi teladan 

#GanjarCapres https://t.co/7EqhalHvuY",1
Ganjar Pranowo terbukti turunkan kemiskinan https://t.co/qlIknQhJbE,1
Gubernur Jawa Tengah Ganjar Pranowo berikan bantuan sosial di Grobogan https://t.co/1u7Mm6R84z,-1
"Ganjar Pranowo serahkan bantuan sosial kepada warga Kab. Grobogan, Jawa Tengah https://t.co/BH1b2Z1sQ9",-1
"Tsamara Amany dan para anak muda Dukung Ganjar Pranowo 

#GanjarCapres https://t.co/TDnCEfTszl",1
Lanjutkan bersama Ganjar Pranowo 🇮🇩 https://t.co/2Fj3pPI5fc,1
Dukung Ganjar Pranowo Capres pilihan Pak Jokowi https://t.co/iftGdsFyxh,1
Ganjar Pranowo datang ke Kab. Grobogan untuk serahkan bantuan sosial kepada siswa https://t.co/LcWRC2Yi0u,-1
"Ganjar Pranowo sosok pemimpin berani dan punya nyali
#GanjarCapres https://t.co/RHcnmvffT5",1
"Milenial bersama Ganjar Pranowo 

#GanjarCapres https://t.co/qSXPJK2wE4",1
Bukti Ganjar Pranowo menjadi capres idaman 👍 https://t.co/N59yXCnPbq,1
"Ganjar Pranowo adalah pemimpin teladan 

#GanjarCapres https://t.co/ztT5lcDdo5",1
"Relawan orang muda Ganjar (OMG) Sulteng dan para pemuda deklarasi Dukung Ganjar Pranowo Presiden 2024

#GanjarCapres https://t.co/RQSRP2PlgF",1
"Ganjar Pranowo pemimpin visioner 

#GanjarCapres https://t.co/kzjDL7KH3F",1
"Ganjar Pranowo mendapat dukungan diberbagai daerah 
#GanjarCapres https://t.co/1is0RIarrQ",-1
"Ganjar Pranowo tidak gengsi mengerjakan pekerjaan rumah 

#GanjarCapres https://t.co/R3ASF5LPKM",1
"Ganjar Pranowo mendapat dukungan diberbagai daerah 
#GanjarCapres https://t.co/zJ0nfwKZno",-1
"Ganjar Pranowo mendapat dukungan diberbagai daerah 
#GanjarCapres https://t.co/qfgvXv8ac9",-1
"Ganjar Pranowo mendapat dukungan diberbagai daerah 
#GanjarCapres https://t.co/0LmyCh9qqI",-1
"Ganjar Pranowo mendapat dukungan diberbagai daerah 
#GanjarCapres https://t.co/uzcZmy22WH",-1
6.000 kader angkatan muda Sisingamangaraja XII siap menangkan Ganjar Pranowo https://t.co/LT65vtpGtU,1
"Ganjar Pranowo sosok pemimpin berani dan punya nyali 

#GanjarCapres https://t.co/ZAdIy6zp1x",1
Ganjar Pranowo bangun kreatifitas bersama milenial dan Gen Z 🇮🇩 https://t.co/nkFBF20ANV,1
"Ganjar pranowo adalah sosok capres yang paling ideal
#GanjarCapres https://t.co/cIHHNvfRYC",1
Ganjar Pranowo menjadi keluarga kesultanan Palembang Darussalam https://t.co/qFkRFRC8oh,1
"Ganjar Pranowo pemimpin yang memegang teguh komitmen bangun bangsa 

#GanjarCapres https://t.co/zZ2W1RW6Wl",1
"Dukung pemberantasan korupsi yang telah diprogramkan Ganjar Pranowo

#GanjarCapres https://t.co/YQVaXOGbYe",1
Angkatan Muda Sisingamangaraja XII (AMS) deklarasikan dukungan kepada Ganjar Pranowo dalam Pilpres 2024 https://t.co/IE7me65C1g,1
"Kerukunan adalah kunci hidup harmonis bernegara dan berbangsa Ganjar Pranowo

#GanjarCapres https://t.co/Ee8kQwxX16",1
"Ternyata mayoritas pendukung Ganjar Pranowo, Capres 2024 didominasi oleh anak muda

#GanjarCapres https://t.co/ylzGG27tdh",1
Ganjar Pranowo memiliki kepedulian tinggi terhadap budaya nasional https://t.co/fslx37dCvn,1
"Ganjar Pranowo bangun kreativitas bersama Milenial dan Gen Z

#GanjarCapres https://t.co/kmx2ERWw4w",1
"Ganjar Pranowo sosok pemimpin yang diidamkan para anak muda

#GanjarCapres https://t.co/DgXTfjzNhY",1
Ganjar Pranowo sukses turunkan kemiskinan ekstrem di 5 daerah Jateng https://t.co/lfIio7T9mH,-1
Pesan Ganjar Pranowo kita harus berkolabutasj dan bersinergi untuk memenangkan Pemilu 2024 https://t.co/akNeB5aU61,-1
"Ganjar Pranowo sosok pemimpin yang merakyat sampai rakyat tingkat bawah dan berjiwa berani
#GanjarCapres https://t.co/nqzvU8Nsvl",1
"Ganjar Pranowo berhasil turunkan kemiskinan ekstrem di Jawa Tengah
#GanjarCapres https://t.co/D3Uu2uo3c2",1
"Masyarakat Indonesia mendukung Ganjar Pranowo sebagai presiden RI berikutnya!

#GanjarCapres https://t.co/6lBAzaekk5",1
"https://t.co/ZTpoQp3264
Ganjar Pranowo Pemimpin yang munya nyali
Maju Pak Ganjar Kami dibelakangmu

#GanjarCapres",1
"Ganjar Pranowo mendapatkan dukungan dari milenial Indonesia sebagai capres 2024
#GanjarCapres https://t.co/49e4n2Djir",1
"Ganjar Pranowo mendapatkan dukungan dari kalangan milenial Indonesia sebagai capres 2024
#GanjarCapres https://t.co/IBHc3PWJwh",1
