,id_hasil_model,id_review,nama,tanggal,review,label
0,90,121,Suep,2023-12-01,Bagus,5
1,91,122,Verza,2023-12-02,Bagus bangett mantappp,5
2,92,123,Rosi,2023-12-03,Bagus,5
3,93,124,Tari,2023-12-04,aplikasinya oke bagus bangettt mantapppp,5
4,94,125,Tarmo,2023-12-05,aplikasinya oke bagus bangettt mantapppp,5
5,95,126,Nopal,2023-12-06,aplikasinya oke bagus bangettt mantapppp,5
6,96,127,Reza,2023-12-07,bagus bangettt mantapppp,3
7,97,128,Feri,2023-12-08,bagus bangettt mantapppp,3
8,98,129,Atha,2023-12-09,bagus bangettt mantapppp,3
9,99,130,Nimah,2023-12-10,good,5
10,100,131,Torja,2023-12-11,bagus,5
11,101,132,Suni,2023-12-12,bagus,5
12,102,133,Yika,2023-12-13,bagus,5
13,103,134,Kondor,2023-12-01,jelek banget,1
14,104,135,Rama,2023-12-02,aplikasi jelek banget,1
15,105,136,Afkar,2023-12-03,aplikasi jelek banget,1
16,106,137,Rokayah,2023-12-04,"sampah, aplikasi jelek banget",1
17,107,138,Leni,2023-12-01,lumayan sih,3
18,108,139,Zen,2023-12-02,lumayan,3
19,109,140,Kori,2023-12-03,lumayan sihh,3
20,110,141,Rizki,2023-12-04,lumayan sihh,3
21,111,142,Maulana,2023-12-05,lumayan sihh,3
22,112,143,Sobri,2023-12-06,lumayan sih,3
23,113,144,Durma,2023-12-07,lumayan deh,3
24,114,145,Sonya,2023-12-08,lumayan deh,3
25,115,146,Kincana,2023-12-20,lumayan,3
26,116,146,Kincana,2023-12-20,lumayan,3
27,117,147,Rendi,2023-12-21,Bagus bangett mantappp,5
28,118,148,Andre,2023-12-20,good,5
29,119,149,Putri,2023-12-20,good,5
30,120,150,Zidan,2023-12-20,good,5
31,121,151,Maul,2023-12-20,good,5
32,122,152,Ana,2023-12-20,good,5
33,123,153,Ghani,2023-12-21,jelek banget,1
34,124,154,Hendra,2023-12-23,Bagus,3
35,125,155,Sarah,2023-12-26,Bagus bangett mantappp,3
36,126,156,Yosan,2023-12-07,jelek banget,3
37,127,157,Rio,2023-12-12,"sampah, aplikasi jelek banget",3
38,128,158,Nami,2023-12-24,good,3
39,129,159,Feni,2023-12-20,Bagus bangett mantappp,3
40,130,160,Jos,2023-12-29,good,5
41,131,161,Bayu,2023-12-20,good!!,5
42,132,162,Kape,2023-12-20,Bagus bangett mantappp,5
43,133,163,Dego,2023-12-20,Bagus bangett mantappp,5
44,134,164,Chori,2023-12-22,Bagus bangett mantappp,5
